,Training Loss-1,Testing Loss-1,Training Loss-32,Testing Loss-32,Training Loss-64,Testing Loss-64
0,834,74,822,115,822,115
1,844,74,822,115,822,115
2,802,100,822,115,822,115
3,780,74,822,115,822,115
4,778,115,822,115,822,115
5,828,115,822,115,822,115
6,795,115,822,115,822,115
7,796,115,822,115,822,115
8,861,115,822,115,822,115
9,771,115,822,115,822,115
10,783,100,822,115,822,115
11,819,115,822,115,822,115
12,829,115,822,115,822,115
13,806,74,822,115,822,115
14,803,115,822,115,822,115
15,858,100,822,115,822,115
16,836,74,822,115,822,115
17,860,74,822,115,822,115
18,810,74,822,115,822,115
19,827,74,822,115,822,115
