,Training Loss-1,Testing Loss-1,Training Loss-32,Testing Loss-32,Training Loss-64,Testing Loss-64
0,807,74,798,74,753,74
1,803,115,809,115,820,100
2,825,100,767,100,814,74
3,830,115,826,74,831,115
4,854,100,839,74,998,76
5,816,74,981,115,1573,122
6,813,100,1631,119,1853,115
7,822,115,1920,117,1925,153
8,817,100,1909,135,2126,196
9,792,100,2083,154,2233,214
10,806,74,2189,195,2335,222
11,819,74,2326,225,2411,244
12,805,100,2399,231,2508,230
13,785,115,2509,235,2582,259
14,801,115,2545,218,2636,246
15,801,74,2629,261,2692,271
16,842,74,2682,266,2683,276
17,806,74,2699,283,2745,275
18,822,74,2763,283,2778,283
19,792,74,2760,281,2781,283
