,Training Loss-1,Testing Loss-1,Training Loss-32,Testing Loss-32,Training Loss-64,Testing Loss-64
0,794,100,822,115,826,100
1,805,74,822,115,826,100
2,818,115,822,115,826,100
3,812,100,822,115,826,100
4,821,115,822,115,826,100
5,794,100,822,115,826,100
6,792,115,822,115,826,100
7,812,74,822,115,826,100
8,807,74,822,115,826,100
9,805,115,822,115,826,100
10,814,100,822,115,826,100
11,783,74,822,115,826,100
12,834,115,822,115,826,100
13,803,115,822,115,826,100
14,812,115,822,115,826,100
15,806,100,822,115,826,100
16,794,115,822,115,826,100
17,848,115,822,115,826,100
18,821,74,822,115,826,100
19,818,74,822,115,826,100
