,Training Loss-1,Testing Loss-1,Training Loss-32,Testing Loss-32,Training Loss-64,Testing Loss-64
0,1.1546881,1.3288221,1.389465,1.3954203,1.3895379,1.4099269
1,1.2261513,1.2271583,1.3857813,1.3954203,1.3921287,1.4099269
2,1.322393,1.3229015,1.3819469,1.3954203,1.3872457,1.4099269
3,1.1583345,1.2749945,1.3857299,1.3954203,1.3883361,1.4099269
4,1.3132623,1.3506774,1.3853797,1.3954203,1.3888285,1.4099269
5,1.3150078,1.3137274,1.3840797,1.3954203,1.3856977,1.4099269
6,1.2432934,1.241708,1.3855014,1.3954203,1.3923086,1.4099269
7,1.2079966,1.177252,1.3841773,1.3954203,1.3843983,1.4099269
8,2.0433044,1.180942,1.3856801,1.3954203,1.3899873,1.4099269
9,1.2022412,1.2880919,1.3877058,1.3954203,1.3912468,1.4099269
10,1.2789731,1.2748632,1.3867171,1.3954203,1.3852655,1.4099269
11,1.3329834,1.1396288,1.3848729,1.3954203,1.3833636,1.4099269
12,2.0706508,1.1884255,1.3877044,1.3954203,1.3884124,1.4099269
13,1.171979,1.2500228,1.3852051,1.3954203,1.3916557,1.4099269
14,1.1419055,1.2835313,1.3888139,1.3954203,1.38671,1.4099269
15,1.1283382,1.3013653,1.3834989,1.3954203,1.3887268,1.4099269
16,1.0770149,1.3046119,1.38549,1.3954203,1.3849887,1.4099269
17,1.342195,1.3426567,1.3844905,1.3954203,1.3881617,1.4099269
18,1.3541845,1.1185266,1.387714,1.3954203,1.3926377,1.4099269
19,1.3068193,1.1459982,1.3869983,1.3954203,1.3895439,1.4099269
