,Training Loss-1,Testing Loss-1,Training Loss-32,Testing Loss-32,Training Loss-64,Testing Loss-64
0,805,115,741,115,794,115
1,834,100,786,115,811,100
2,844,74,845,100,815,100
3,820,74,795,100,848,100
4,841,100,860,132,956,146
5,845,115,1070,106,1492,100
6,808,74,1557,104,1824,127
7,840,100,1759,120,1901,172
8,819,100,1919,126,2071,169
9,863,74,2051,212,2187,176
10,780,115,2179,145,2278,227
11,824,100,2316,231,2387,202
12,841,115,2460,251,2506,251
13,786,115,2499,267,2595,261
14,856,100,2516,237,2596,245
15,815,74,2619,265,2670,271
16,841,115,2678,266,2705,266
17,842,100,2709,258,2726,276
18,792,115,2726,268,2772,283
19,811,115,2775,280,2777,270
