,Training Loss-1,Testing Loss-1,Training Loss-32,Testing Loss-32,Training Loss-64,Testing Loss-64
0,1.1345425,1.2420673,1.3165421,1.2605946,1.2854629,1.2605875
1,1.325948,1.1902161,1.51744,1.2413535,1.3502496,1.2577788
2,1.3465301,1.1443053,1.3854226,1.2340443,1.3484658,1.2856185
3,1.501506,1.047797,1.3148981,1.2495209,1.3355865,1.2404153
4,1.0330925,1.5648286,1.4151108,1.2261746,1.3340017,1.1592268
5,1.3200014,1.2694634,1.3520839,1.4902016,1.1345198,1.9234133
6,1.3420084,0.9543865,0.8290583,1.769388,0.5280451,2.062826
7,1.2468661,1.4001985,1.0203116,2.5003617,0.9745855,1.6247396
8,1.377559,1.376148,0.739214,3.5024846,0.44857806,2.973004
9,1.265378,1.045489,0.85579705,0.5208746,1.2565917,1.5421932
10,1.439568,1.4176526,0.53133583,2.3530276,0.4094616,1.7099568
11,0.97129226,1.4211057,0.5928451,0.41067496,0.28803745,0.8576957
12,1.2446437,1.228619,0.20301256,0.21413276,0.2475431,0.29248005
13,1.5866104,1.5586076,0.22109418,0.19978654,0.503749,0.11252819
14,1.094505,1.4050752,0.40579262,0.87833947,0.16253193,0.88348085
15,1.3568249,1.038335,0.1551247,0.22241144,0.10763247,0.033963166
16,1.1751006,1.180441,0.19495498,0.3704198,0.21177402,0.26505214
17,1.3503315,1.3453486,0.15362436,0.8063196,0.16482988,0.10976249
18,1.2774333,1.2808101,0.12192308,0.2586648,0.12589452,0.0780741
19,1.2199717,1.3198895,0.061321314,0.41524547,0.2825774,0.47729126
